Running dfx start for version 0.29.2
Using the default configuration for the local shared network.
Replica API running in the background on 127.0.0.1:4943
2025-12-03 21:03:42.987721494 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 0, Pool: 0, Unstaked: 0
2025-12-03 21:03:42.987721494 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 0, Pool: 0, Unstaked: 0
2025-12-03 21:03:45.509788706 UTC: [Canister ucwa4-rx777-77774-qaada-cai] PROCESS_UNSTAKE: Before - Staked: 0, Pool: 0, Unstaked: 0
2025-12-03 21:03:45.509788706 UTC: [Canister ucwa4-rx777-77774-qaada-cai] PROCESS_UNSTAKE: After - Staked: 0, Pool: 5000000, Unstaked: 50000000
2025-12-03 21:03:46.799677958 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 0, Pool: 5000000, Unstaked: 50000000
2025-12-03 21:03:46.799677958 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 5000000, Unstaked: 50000000
2025-12-03 21:03:48.071557403 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:03:48.071557403 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:03:53.072228322 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:03:53.072228322 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:03:58.680213952 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:03:58.680213952 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:04:03.689413252 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
